,Zip Code,Location,City,Population,People / Sq. Mile,National Rank,Latitude,Longitude,Population,Areasqmile,Landsqmile,Watersqmile,Poppersqmile
35,60634,"41.946189, -87.806117","Chicago, Illinois","74,164","10,611.96",#552,41.9461885,-87.8061174,"74,164",6.99,6.98,0.01,"10,626.10"
36,60609,"41.812680, -87.656935","Chicago, Illinois","79,469","10,286.83",#579,41.8126802,-87.6569346,"79,469",7.73,7.71,0.02,"10,312.31"
37,60612,"41.880500, -87.687967","Chicago, Illinois","37,990","10,195.72",#586,41.8805001,-87.6879666,"37,990",3.73,3.73,0.00,"10,195.72"
38,60652,"41.746234, -87.711953","Chicago, Illinois","39,126","8,425.81",#757,41.7462339,-87.7119531,"39,126",4.64,4.64,0.00,"8,425.81"
39,60628,"41.692200, -87.617859","Chicago, Illinois","87,827","8,286.36",#778,41.6921996,-87.6178589,"87,827",10.60,10.60,0.00,"8,286.37"
40,60643,"41.696894, -87.661375","Chicago, Illinois","52,568","7,845.03",#867,41.6968939,-87.6613746,"52,568",6.70,6.70,0.00,"7,845.03"
41,60631,"41.994948, -87.813225","Chicago, Illinois","28,832","7,754.38",#879,41.9949478,-87.8132246,"28,832",3.72,3.72,0.00,"7,754.38"
42,60656,"41.973544, -87.830234","Chicago, Illinois","27,129","7,590.96",#900,41.9735443,-87.8302335,"27,129",3.57,3.57,0.00,"7,590.97"
43,60617,"41.718172, -87.555846","Chicago, Illinois","96,288","7,168.75",#990,41.718172,-87.5558458,"96,288",13.43,13.31,0.12,"7,233.22"
44,60655,"41.694722, -87.703687","Chicago, Illinois","29,138","6,541.10","#1,160",41.6947215,-87.7036869,"29,138",4.45,4.45,0.00,"6,541.10"
45,60607,"41.874503, -87.651322","Chicago, Illinois","15,552","6,428.11","#1,194",41.874503,-87.6513217,"15,552",2.42,2.42,0.00,"6,428.11"
46,60606,"41.881988, -87.637329","Chicago, Illinois","1,682","6,140.44","#1,268",41.8819877,-87.6373285,"1,682",0.27,0.27,0.00,"6,140.45"
47,60605,"41.857651, -87.615592","Chicago, Illinois","12,423","6,027.29","#1,305",41.8576514,-87.6155919,"12,423",2.06,2.06,0.00,"6,027.29"
48,60646,"41.992931, -87.760278","Chicago, Illinois","27,016","5,741.46","#1,411",41.992931,-87.760278,"27,016",4.71,4.71,0.00,"5,741.47"
49,60638,"41.783650, -87.770407","Chicago, Illinois","55,788","5,010.81","#1,712",41.7836498,-87.7704066,"55,788",11.13,11.13,0.00,"5,010.82"
50,60603,"41.880614, -87.629311","Chicago, Illinois",378,"4,553.49","#1,983",41.880614,-87.629311,378,0.08,0.08,0.00,"4,553.50"
51,60633,"41.661941, -87.557757","Chicago, Illinois","13,262","1,102.54","#6,069",41.6619407,-87.5577568,"13,262",12.03,11.10,0.93,"1,194.80"
52,60602,"41.883067, -87.629187","Chicago, Illinois",70,810.58,"#6,855",41.8830669,-87.6291868,70,0.09,0.09,0.00,810.59
53,60604,"41.878266, -87.626150","Chicago, Illinois",78,546.75,"#7,918",41.8782658,-87.6261495,78,0.14,0.14,0.00,546.76
54,60654,"41.888109, -87.636652","Chicago, Illinois",7,195.04,"#11,151",41.8881088,-87.6366515,7,0.04,0.04,0.00,195.04
